customer_id,customer_name,email,phone,country,city,state,postal_code,created_date,updated_date,account_status,credit_limit,total_purchases
1,Acme Corporation,contact@acme.com,555-0101,USA,New York,NY,10001,2020-01-15,2024-08-15,ACTIVE,500000,2500000.50
2,Global Industries Inc,sales@globalind.com,555-0102,USA,Los Angeles,CA,90001,2020-02-20,2024-08-14,ACTIVE,750000,3200000.75
3,Tech Solutions Ltd,info@techsol.com,555-0103,Canada,Toronto,ON,M5H1A1,2020-03-10,2024-08-13,ACTIVE,250000,1500000.25
4,European Trading GmbH,contact@eutrade.de,555-0104,Germany,Berlin,,10115,2020-04-05,2024-08-12,ACTIVE,1000000,5000000.00
5,Asia Pacific Corp,sales@asiapac.sg,555-0105,Singapore,Singapore,,018956,2020-05-12,2024-08-11,ACTIVE,500000,2200000.80
6,Small Business LLC,owner@smallbiz.com,555-0106,USA,Austin,TX,78701,2021-01-01,2024-08-10,ACTIVE,100000,450000.30
7,Enterprise Solutions International,contact@enterprise.com,555-0107,USA,Chicago,IL,60601,2020-06-20,2024-08-09,SUSPENDED,2000000,NULL
8,Mid Market Partners,sales@midmarket.com,555-0108,USA,Houston,TX,77001,2020-07-15,2024-08-08,ACTIVE,600000,2800000.45
9,Emerging Ventures Group,info@emerging.com,555-0109,India,Bangalore,,560001,2021-03-22,2024-08-07,ACTIVE,300000,1200000.60
10,Global Trade Partners,contact@globaltrade.com,555-0110,UK,London,,EC1A1BB,2020-08-30,2024-08-06,ACTIVE,800000,3500000.90
